,Date,Count,Crime_Category,Region
35,2018-12-31,2472,Murder,South Africa
36,2019-01-31,1441,Murder,South Africa
37,2019-02-28,1523,Murder,South Africa
38,2019-03-31,1932,Murder,South Africa
39,2019-04-30,1691,Murder,South Africa
40,2019-05-31,1720,Murder,South Africa
41,2019-06-30,1987,Murder,South Africa
42,2019-07-31,1800,Murder,South Africa
43,2019-08-31,1862,Murder,South Africa
44,2019-09-30,1784,Murder,South Africa
45,2019-10-31,1687,Murder,South Africa
46,2019-11-30,1950,Murder,South Africa
47,2019-12-31,2271,Murder,South Africa
48,2020-01-31,1466,Murder,South Africa
49,2020-02-29,1589,Murder,South Africa
50,2020-03-31,1534,Murder,South Africa
51,2020-04-30,752,Murder,South Africa
52,2020-05-31,961,Murder,South Africa
53,2020-06-30,1753,Murder,South Africa
54,2020-07-31,1419,Murder,South Africa
55,2020-08-31,1733,Murder,South Africa
56,2020-09-30,1955,Murder,South Africa
57,2020-10-31,1986,Murder,South Africa
58,2020-11-30,1988,Murder,South Africa
59,2020-12-31,2323,Murder,South Africa
60,2021-01-31,1198,Murder,South Africa
61,2021-02-28,1789,Murder,South Africa
62,2021-03-31,1989,Murder,South Africa
0,2016-01-31,185,Neglect and ill-treatment of children,South Africa
1,2016-02-29,198,Neglect and ill-treatment of children,South Africa
2,2016-03-31,203,Neglect and ill-treatment of children,South Africa
3,2016-04-30,163,Neglect and ill-treatment of children,South Africa
4,2016-05-31,185,Neglect and ill-treatment of children,South Africa
5,2016-06-30,151,Neglect and ill-treatment of children,South Africa
6,2016-07-31,169,Neglect and ill-treatment of children,South Africa
7,2016-08-31,182,Neglect and ill-treatment of children,South Africa
8,2016-09-30,202,Neglect and ill-treatment of children,South Africa
